Floor,Direction,Area,Count
2nd,entrance,3rd,6947.0
2nd,entrance,G,5225.0
2nd,entrance,alaart,3810.0
2nd,entrance,bts,2913.0
2nd,entrance,hotel,75.0
2nd,entrance,lift_10,216.0
2nd,entrance,lift_11,248.0
2nd,entrance,lift_12,246.0
2nd,entrance,lift_13,204.0
2nd,entrance,lift_14,212.0
2nd,entrance,lift_15,533.0
2nd,entrance,lift_16,495.0
2nd,entrance,lift_17,281.0
2nd,entrance,lift_18,269.0
2nd,entrance,lift_19,273.0
2nd,entrance,lift_tower_1,1.0
2nd,entrance,lift_tower_2,96.0
2nd,entrance,lift_tower_3,182.0
2nd,entrance,lift_tower_4,15.0
2nd,entrance,lift_tower_5,0.0
2nd,entrance,parking,4193.0
2nd,entrance,tokyu,1698.0
2nd,exit,3rd,7396.0
2nd,exit,G,5288.0
2nd,exit,alaart,2733.0
2nd,exit,bts,3694.0
2nd,exit,hotel,57.0
2nd,exit,lift_10,206.0
2nd,exit,lift_11,187.0
2nd,exit,lift_12,185.0
2nd,exit,lift_13,152.0
2nd,exit,lift_14,139.0
2nd,exit,lift_15,533.0
2nd,exit,lift_16,469.0
2nd,exit,lift_17,272.0
2nd,exit,lift_18,267.0
2nd,exit,lift_19,271.0
2nd,exit,lift_tower_1,3.0
2nd,exit,lift_tower_2,107.0
2nd,exit,lift_tower_3,146.0
2nd,exit,lift_tower_4,14.0
2nd,exit,lift_tower_5,0.0
2nd,exit,parking,4175.0
2nd,exit,tokyu,1796.0
3rd,entrance,2nd,7396.0
3rd,entrance,4th,7804.0
3rd,entrance,bts,2900.0
3rd,entrance,chula,1568.0
3rd,entrance,lift_10,143.0
3rd,entrance,lift_11,169.0
3rd,entrance,lift_12,165.0
3rd,entrance,lift_13,101.0
3rd,entrance,lift_14,114.0
3rd,entrance,lift_15,190.0
3rd,entrance,lift_16,169.0
3rd,entrance,lift_17,119.0
3rd,entrance,lift_18,129.0
3rd,entrance,lift_19,130.0
3rd,entrance,parking,1901.0
3rd,entrance,tokyu,1166.0
3rd,exit,2nd,6947.0
3rd,exit,4th,8275.0
3rd,exit,bts,3236.0
3rd,exit,chula,1586.0
3rd,exit,lift_10,184.0
3rd,exit,lift_11,186.0
3rd,exit,lift_12,188.0
3rd,exit,lift_13,109.0
3rd,exit,lift_14,111.0
3rd,exit,lift_15,207.0
3rd,exit,lift_16,193.0
3rd,exit,lift_17,152.0
3rd,exit,lift_18,147.0
3rd,exit,lift_19,153.0
3rd,exit,parking,2127.0
3rd,exit,tokyu,1304.0
4th,entrance,3rd,8275.0
4th,entrance,5th,5415.0
4th,entrance,lift_10,545.0
4th,entrance,lift_11,299.0
4th,entrance,lift_12,293.0
4th,entrance,lift_13,172.0
4th,entrance,lift_14,169.0
4th,entrance,lift_15,300.0
4th,entrance,lift_16,286.0
4th,entrance,lift_17,183.0
4th,entrance,lift_18,169.0
4th,entrance,lift_19,176.0
4th,entrance,parking,1657.0
4th,entrance,tokyu,1843.0
4th,exit,3rd,7804.0
4th,exit,5th,4858.0
4th,exit,lift_10,611.0
4th,exit,lift_11,403.0
4th,exit,lift_12,401.0
4th,exit,lift_13,135.0
4th,exit,lift_14,146.0
4th,exit,lift_15,232.0
4th,exit,lift_16,213.0
4th,exit,lift_17,231.0
4th,exit,lift_18,233.0
4th,exit,lift_19,230.0
4th,exit,parking,2030.0
4th,exit,tokyu,1666.0
5th,entrance,4th,4858.0
5th,entrance,6th,6096.0
5th,entrance,lift_10,147.0
5th,entrance,lift_11,141.0
5th,entrance,lift_12,126.0
5th,entrance,lift_13,94.0
5th,entrance,lift_14,93.0
5th,entrance,lift_15,215.0
5th,entrance,lift_16,183.0
5th,entrance,lift_17,146.0
5th,entrance,lift_18,122.0
5th,entrance,lift_19,140.0
