year,month,week,day,building,hour,entrance,exit,accumulate
2020,10,43,23,mbk,8,594,283,311
2020,10,43,23,mbk,9,1146,398,1059
2020,10,43,23,mbk,10,2804,1086,2777
2020,10,43,23,mbk,11,2793,1548,4022
2020,10,43,23,mbk,12,3094,2281,4835
2020,10,43,23,mbk,13,2954,2689,5100
2020,10,43,23,mbk,14,3028,2938,5190
2020,10,43,23,mbk,15,3005,3146,5049
2020,10,43,23,mbk,16,3085,3435,4699
2020,10,43,23,mbk,17,2643,3209,4133
2020,10,43,23,mbk,18,2592,3302,3423
2020,10,43,23,mbk,19,1749,3399,1773
2020,10,43,23,mbk,20,1031,2913,-109
2020,10,43,23,mbk,21,533,973,-549
2020,10,43,23,alaart,8,3,2,1
2020,10,43,23,alaart,9,44,37,8
2020,10,43,23,alaart,10,149,143,14
2020,10,43,23,alaart,11,180,172,22
2020,10,43,23,alaart,12,254,264,12
2020,10,43,23,alaart,13,345,337,20
2020,10,43,23,alaart,14,290,272,38
2020,10,43,23,alaart,15,332,331,39
2020,10,43,23,alaart,16,425,416,48
2020,10,43,23,alaart,17,205,184,69
2020,10,43,23,alaart,18,125,134,60
2020,10,43,23,alaart,19,85,91,54
2020,10,43,23,alaart,20,119,143,30
2020,10,43,23,alaart,21,8,7,31
2020,10,43,23,tower,8,17,2,15
2020,10,43,23,tower,9,30,8,37
2020,10,43,23,tower,10,12,11,38
2020,10,43,23,tower,11,6,3,41
2020,10,43,23,tower,12,21,20,42
2020,10,43,23,tower,13,13,17,38
2020,10,43,23,tower,14,10,4,44
2020,10,43,23,tower,15,4,2,46
2020,10,43,23,tower,16,14,24,36
2020,10,43,23,tower,17,9,11,34
2020,10,43,23,tower,18,12,13,33
2020,10,43,23,tower,19,6,11,28
2020,10,43,23,tower,20,9,6,31
2020,10,43,23,tower,21,2,2,31
2020,10,43,23,tokyu,8,2,3,-1
2020,10,43,23,tokyu,9,21,10,10
2020,10,43,23,tokyu,10,372,329,53
2020,10,43,23,tokyu,11,829,782,100
2020,10,43,23,tokyu,12,1027,1077,50
2020,10,43,23,tokyu,13,1103,1070,83
2020,10,43,23,tokyu,14,1187,1197,73
2020,10,43,23,tokyu,15,1201,1247,27
2020,10,43,23,tokyu,16,1169,1192,4
2020,10,43,23,tokyu,17,1091,1108,-13
2020,10,43,23,tokyu,18,941,976,-48
2020,10,43,23,tokyu,19,704,762,-106
2020,10,43,23,tokyu,20,28,66,-144
2020,10,43,23,tokyu,21,8,16,-152
2020,10,43,24,tower,8,5,3,2
2020,10,43,24,tower,9,23,6,19
2020,10,43,24,tower,10,19,13,25
2020,10,43,24,tower,11,10,16,19
2020,10,43,24,tower,12,15,16,18
2020,10,43,24,tower,13,12,8,22
2020,10,43,24,tower,14,15,17,20
2020,10,43,24,tower,15,8,10,18
2020,10,43,24,tower,16,11,13,16
2020,10,43,24,tower,17,6,9,13
2020,10,43,24,tower,18,13,18,8
2020,10,43,24,tower,19,6,8,6
2020,10,43,24,tower,20,9,7,8
2020,10,43,24,tower,21,3,0,11
2020,10,43,24,tower,22,0,0,11
2020,10,43,24,alaart,8,7,8,-1
2020,10,43,24,alaart,9,46,37,8
2020,10,43,24,alaart,10,205,198,15
2020,10,43,24,alaart,11,182,180,17
2020,10,43,24,alaart,12,303,280,40
2020,10,43,24,alaart,13,300,303,37
2020,10,43,24,alaart,14,327,324,40
2020,10,43,24,alaart,15,375,365,50
2020,10,43,24,alaart,16,361,339,72
2020,10,43,24,alaart,17,286,288,70
2020,10,43,24,alaart,18,243,222,91
2020,10,43,24,alaart,19,241,242,90
2020,10,43,24,alaart,20,97,116,71
2020,10,43,24,alaart,21,6,18,59
2020,10,43,24,mbk,8,474,221,253
2020,10,43,24,mbk,9,1207,428,1032
2020,10,43,24,mbk,10,3124,1111,3045
2020,10,43,24,mbk,11,2896,1705,4236
2020,10,43,24,mbk,12,2892,2278,4850
2020,10,43,24,mbk,13,2986,2577,5259
2020,10,43,24,mbk,14,2921,2918,5262
2020,10,43,24,mbk,15,3028,2973,5317
2020,10,43,24,mbk,16,2983,3092,5208
2020,10,43,24,mbk,17,2729,3134,4803
2020,10,43,24,mbk,18,2324,2966,4161
2020,10,43,24,mbk,19,1748,3306,2603
2020,10,43,24,mbk,20,1056,2812,847
2020,10,43,24,mbk,21,478,913,412
2020,10,43,24,tokyu,8,0,1,-1
2020,10,43,24,tokyu,9,8,11,-4
2020,10,43,24,tokyu,10,407,336,67
2020,10,43,24,tokyu,11,855,857,65
2020,10,43,24,tokyu,12,1025,1009,81
2020,10,43,24,tokyu,13,1143,1156,68
2020,10,43,24,tokyu,14,1048,1024,92
2020,10,43,24,tokyu,15,1245,1216,121
2020,10,43,24,tokyu,16,1197,1224,94
2020,10,43,24,tokyu,17,1122,1069,147
2020,10,43,24,tokyu,18,949,951,145
2020,10,43,24,tokyu,19,755,757,143
2020,10,43,24,tokyu,20,25,47,121
2020,10,43,24,tokyu,21,6,8,119
2020,10,43,25,tokyu,8,1,0,1
2020,10,43,25,tokyu,9,6,6,1
