year,month,week,day,building,direction,area,count
2020,10,43,23,alaart,entrance,alaart,2564
2020,10,43,23,alaart,exit,alaart,2533
2020,10,43,23,mbk,entrance,alaart,3562
2020,10,43,23,mbk,entrance,bts,5846
2020,10,43,23,mbk,entrance,chula,1333
2020,10,43,23,mbk,entrance,ground,3117
2020,10,43,23,mbk,entrance,hotel,739
2020,10,43,23,mbk,entrance,parking,12261
2020,10,43,23,mbk,entrance,service,953
2020,10,43,23,mbk,entrance,taxi,827
2020,10,43,23,mbk,entrance,tokyu,2285
2020,10,43,23,mbk,entrance,tower,133
2020,10,43,23,mbk,exit,alaart,2850
2020,10,43,23,mbk,exit,bts,6549
2020,10,43,23,mbk,exit,chula,1378
2020,10,43,23,mbk,exit,ground,2935
2020,10,43,23,mbk,exit,hotel,633
2020,10,43,23,mbk,exit,parking,13077
2020,10,43,23,mbk,exit,service,902
2020,10,43,23,mbk,exit,taxi,767
2020,10,43,23,mbk,exit,tokyu,2378
2020,10,43,23,mbk,exit,tower,132
2020,10,43,23,tokyu,entrance,bts,1471
2020,10,43,23,tokyu,entrance,ground,814
2020,10,43,23,tokyu,entrance,mbk,7399
2020,10,43,23,tokyu,exit,bts,1780
2020,10,43,23,tokyu,exit,ground,598
2020,10,43,23,tokyu,exit,mbk,7457
2020,10,43,23,tower,entrance,lift_tower_1,4
2020,10,43,23,tower,entrance,lift_tower_2,78
2020,10,43,23,tower,entrance,lift_tower_3,10
2020,10,43,23,tower,entrance,lift_tower_4,73
2020,10,43,23,tower,entrance,lift_tower_5,0
2020,10,43,23,tower,exit,lift_tower_1,2
2020,10,43,23,tower,exit,lift_tower_2,88
2020,10,43,23,tower,exit,lift_tower_3,1
2020,10,43,23,tower,exit,lift_tower_4,43
2020,10,43,23,tower,exit,lift_tower_5,0
2020,10,43,24,alaart,entrance,alaart,2979
2020,10,43,24,alaart,exit,alaart,2920
2020,10,43,24,mbk,entrance,alaart,3691
2020,10,43,24,mbk,entrance,bts,5832
2020,10,43,24,mbk,entrance,chula,1316
2020,10,43,24,mbk,entrance,ground,3339
2020,10,43,24,mbk,entrance,hotel,745
2020,10,43,24,mbk,entrance,parking,11781
2020,10,43,24,mbk,entrance,service,836
2020,10,43,24,mbk,entrance,taxi,867
2020,10,43,24,mbk,entrance,tokyu,2279
2020,10,43,24,mbk,entrance,tower,159
2020,10,43,24,mbk,exit,alaart,2666
2020,10,43,24,mbk,exit,bts,6802
2020,10,43,24,mbk,exit,chula,1331
2020,10,43,24,mbk,exit,ground,3017
2020,10,43,24,mbk,exit,hotel,626
2020,10,43,24,mbk,exit,parking,11947
2020,10,43,24,mbk,exit,service,841
2020,10,43,24,mbk,exit,taxi,795
2020,10,43,24,mbk,exit,tokyu,2251
2020,10,43,24,mbk,exit,tower,154
2020,10,43,24,tokyu,entrance,bts,1409
2020,10,43,24,tokyu,entrance,ground,870
2020,10,43,24,tokyu,entrance,mbk,7504
2020,10,43,24,tokyu,exit,bts,1709
2020,10,43,24,tokyu,exit,ground,542
2020,10,43,24,tokyu,exit,mbk,7416
2020,10,43,24,tower,entrance,lift_tower_1,8
2020,10,43,24,tower,entrance,lift_tower_2,83
2020,10,43,24,tower,entrance,lift_tower_3,3
2020,10,43,24,tower,entrance,lift_tower_4,61
2020,10,43,24,tower,entrance,lift_tower_5,0
2020,10,43,24,tower,exit,lift_tower_1,1
2020,10,43,24,tower,exit,lift_tower_2,79
2020,10,43,24,tower,exit,lift_tower_3,2
2020,10,43,24,tower,exit,lift_tower_4,62
2020,10,43,24,tower,exit,lift_tower_5,0
2020,10,43,25,alaart,entrance,alaart,2520
2020,10,43,25,alaart,exit,alaart,2488
2020,10,43,25,mbk,entrance,alaart,2813
2020,10,43,25,mbk,entrance,bts,5035
2020,10,43,25,mbk,entrance,chula,1010
2020,10,43,25,mbk,entrance,ground,3115
2020,10,43,25,mbk,entrance,hotel,677
2020,10,43,25,mbk,entrance,parking,10943
2020,10,43,25,mbk,entrance,service,854
2020,10,43,25,mbk,entrance,taxi,834
2020,10,43,25,mbk,entrance,tokyu,1898
2020,10,43,25,mbk,entrance,tower,108
2020,10,43,25,mbk,exit,alaart,2007
2020,10,43,25,mbk,exit,bts,5629
2020,10,43,25,mbk,exit,chula,1243
2020,10,43,25,mbk,exit,ground,2627
2020,10,43,25,mbk,exit,hotel,589
2020,10,43,25,mbk,exit,parking,11705
2020,10,43,25,mbk,exit,service,803
2020,10,43,25,mbk,exit,taxi,733
2020,10,43,25,mbk,exit,tokyu,1882
2020,10,43,25,mbk,exit,tower,91
2020,10,43,25,tokyu,entrance,bts,1159
2020,10,43,25,tokyu,entrance,ground,739
2020,10,43,25,tokyu,entrance,mbk,6825
2020,10,43,25,tokyu,exit,bts,1377
2020,10,43,25,tokyu,exit,ground,505
2020,10,43,25,tokyu,exit,mbk,6831
2020,10,43,25,tower,entrance,lift_tower_1,26
2020,10,43,25,tower,entrance,lift_tower_2,85
2020,10,43,25,tower,entrance,lift_tower_3,20
2020,10,43,25,tower,entrance,lift_tower_4,93
2020,10,43,25,tower,entrance,lift_tower_5,27
2020,10,43,25,tower,exit,lift_tower_1,30
