year,month,week,day,building,floor,hour,entrance,exit,accumulate
2020,10,43,23,mbk,002_3rd,8,41,26,15
2020,10,43,23,mbk,002_3rd,9,241,164,92
2020,10,43,23,mbk,002_3rd,10,1365,1197,260
2020,10,43,23,mbk,002_3rd,11,1876,1861,275
2020,10,43,23,mbk,002_3rd,12,2496,2551,220
2020,10,43,23,mbk,002_3rd,13,2804,2940,84
2020,10,43,23,mbk,002_3rd,14,2966,3210,-160
2020,10,43,23,mbk,002_3rd,15,3246,3375,-289
2020,10,43,23,mbk,002_3rd,16,3327,3374,-336
2020,10,43,23,mbk,002_3rd,17,2761,2902,-477
2020,10,43,23,mbk,002_3rd,18,2379,2545,-643
2020,10,43,23,mbk,002_3rd,19,1829,2131,-945
2020,10,43,23,mbk,002_3rd,20,1075,1219,-1089
2020,10,43,23,mbk,002_3rd,21,112,158,-1135
2020,10,43,23,mbk,002_3rd,22,0,0,-1135
2020,10,43,23,mbk,001_2nd,8,248,192,56
2020,10,43,23,mbk,001_2nd,9,564,411,209
2020,10,43,23,mbk,001_2nd,10,1813,1669,353
2020,10,43,23,mbk,001_2nd,11,2299,2042,610
2020,10,43,23,mbk,001_2nd,12,2708,2543,775
2020,10,43,23,mbk,001_2nd,13,2972,2926,821
2020,10,43,23,mbk,001_2nd,14,3183,3271,733
2020,10,43,23,mbk,001_2nd,15,3310,3390,653
2020,10,43,23,mbk,001_2nd,16,3362,3518,497
2020,10,43,23,mbk,001_2nd,17,3092,3111,478
2020,10,43,23,mbk,001_2nd,18,2713,2777,414
2020,10,43,23,mbk,001_2nd,19,2079,2404,89
2020,10,43,23,mbk,001_2nd,20,1121,1382,-172
2020,10,43,23,mbk,001_2nd,21,326,367,-213
2020,10,43,23,mbk,001_2nd,22,0,1,-214
2020,10,43,23,mbk,000_g,8,374,304,70
2020,10,43,23,mbk,000_g,9,658,482,246
2020,10,43,23,mbk,000_g,10,1350,1057,539
2020,10,43,23,mbk,000_g,11,1507,1298,748
