year,month,week,day,building,floor,direction,area,count
2020,10,43,23,alaart,001_alaart2nd,entrance,000_alaart1st,1369
2020,10,43,23,alaart,001_alaart2nd,entrance,002_alaart3rd,852
2020,10,43,23,alaart,001_alaart2nd,exit,000_alaart1st,1430
2020,10,43,23,alaart,001_alaart2nd,exit,002_alaart3rd,1371
2020,10,43,23,alaart,002_alaart3rd,entrance,001_alaart2nd,1371
2020,10,43,23,alaart,002_alaart3rd,entrance,alaart,1195
2020,10,43,23,alaart,002_alaart3rd,exit,001_alaart2nd,852
2020,10,43,23,alaart,002_alaart3rd,exit,alaart,1103
2020,10,43,23,mbk,000_g,entrance,000_tokyu,907
2020,10,43,23,mbk,000_g,entrance,001_2nd,5369
2020,10,43,23,mbk,000_g,entrance,ground,3117
2020,10,43,23,mbk,000_g,entrance,hotel,651
2020,10,43,23,mbk,000_g,entrance,lift_10,381
2020,10,43,23,mbk,000_g,entrance,lift_11,373
2020,10,43,23,mbk,000_g,entrance,lift_12,457
2020,10,43,23,mbk,000_g,entrance,lift_13,212
2020,10,43,23,mbk,000_g,entrance,lift_14,232
2020,10,43,23,mbk,000_g,entrance,lift_15,309
2020,10,43,23,mbk,000_g,entrance,lift_16,257
2020,10,43,23,mbk,000_g,entrance,lift_17,326
2020,10,43,23,mbk,000_g,entrance,lift_18,333
2020,10,43,23,mbk,000_g,entrance,lift_19,332
2020,10,43,23,mbk,000_g,entrance,lift_tower_1,2
2020,10,43,23,mbk,000_g,entrance,lift_tower_2,68
2020,10,43,23,mbk,000_g,entrance,lift_tower_3,0
2020,10,43,23,mbk,000_g,entrance,lift_tower_4,38
2020,10,43,23,mbk,000_g,entrance,lift_tower_5,0
2020,10,43,23,mbk,000_g,entrance,parking,2048
2020,10,43,23,mbk,000_g,entrance,service,953
2020,10,43,23,mbk,000_g,entrance,taxi,827
2020,10,43,23,mbk,000_g,entrance,tokyu,814
2020,10,43,23,mbk,000_g,entrance,tower,133
2020,10,43,23,mbk,000_g,exit,000_tokyu,962
2020,10,43,23,mbk,000_g,exit,001_2nd,5488
2020,10,43,23,mbk,000_g,exit,ground,2935
2020,10,43,23,mbk,000_g,exit,hotel,585
2020,10,43,23,mbk,000_g,exit,lift_10,464
2020,10,43,23,mbk,000_g,exit,lift_11,452
2020,10,43,23,mbk,000_g,exit,lift_12,482
2020,10,43,23,mbk,000_g,exit,lift_13,280
2020,10,43,23,mbk,000_g,exit,lift_14,283
2020,10,43,23,mbk,000_g,exit,lift_15,358
2020,10,43,23,mbk,000_g,exit,lift_16,324
2020,10,43,23,mbk,000_g,exit,lift_17,341
2020,10,43,23,mbk,000_g,exit,lift_18,322
2020,10,43,23,mbk,000_g,exit,lift_19,303
2020,10,43,23,mbk,000_g,exit,lift_tower_1,4
2020,10,43,23,mbk,000_g,exit,lift_tower_2,54
2020,10,43,23,mbk,000_g,exit,lift_tower_3,1
2020,10,43,23,mbk,000_g,exit,lift_tower_4,72
2020,10,43,23,mbk,000_g,exit,lift_tower_5,0
2020,10,43,23,mbk,000_g,exit,parking,1749
2020,10,43,23,mbk,000_g,exit,service,902
2020,10,43,23,mbk,000_g,exit,taxi,767
2020,10,43,23,mbk,000_g,exit,tokyu,598
2020,10,43,23,mbk,000_g,exit,tower,132
2020,10,43,23,mbk,001_2nd,entrance,000_g,5488
2020,10,43,23,mbk,001_2nd,entrance,000_tokyu,1509
2020,10,43,23,mbk,001_2nd,entrance,002_3rd,7956
2020,10,43,23,mbk,001_2nd,entrance,alaart,3562
2020,10,43,23,mbk,001_2nd,entrance,bts,2621
2020,10,43,23,mbk,001_2nd,entrance,hotel,88
2020,10,43,23,mbk,001_2nd,entrance,lift_10,200
2020,10,43,23,mbk,001_2nd,entrance,lift_11,219
2020,10,43,23,mbk,001_2nd,entrance,lift_12,263
2020,10,43,23,mbk,001_2nd,entrance,lift_13,193
2020,10,43,23,mbk,001_2nd,entrance,lift_14,199
2020,10,43,23,mbk,001_2nd,entrance,lift_15,563
2020,10,43,23,mbk,001_2nd,entrance,lift_16,449
2020,10,43,23,mbk,001_2nd,entrance,lift_17,247
2020,10,43,23,mbk,001_2nd,entrance,lift_18,260
2020,10,43,23,mbk,001_2nd,entrance,lift_19,274
2020,10,43,23,mbk,001_2nd,entrance,lift_tower_1,0
2020,10,43,23,mbk,001_2nd,entrance,lift_tower_2,9
2020,10,43,23,mbk,001_2nd,entrance,lift_tower_3,1
2020,10,43,23,mbk,001_2nd,entrance,lift_tower_4,3
2020,10,43,23,mbk,001_2nd,entrance,lift_tower_5,0
2020,10,43,23,mbk,001_2nd,entrance,parking,4216
2020,10,43,23,mbk,001_2nd,entrance,tokyu,1471
2020,10,43,23,mbk,001_2nd,exit,000_g,5369
2020,10,43,23,mbk,001_2nd,exit,000_tokyu,1380
2020,10,43,23,mbk,001_2nd,exit,002_3rd,8766
2020,10,43,23,mbk,001_2nd,exit,alaart,2850
2020,10,43,23,mbk,001_2nd,exit,bts,3210
2020,10,43,23,mbk,001_2nd,exit,hotel,48
2020,10,43,23,mbk,001_2nd,exit,lift_10,176
2020,10,43,23,mbk,001_2nd,exit,lift_11,196
2020,10,43,23,mbk,001_2nd,exit,lift_12,192
2020,10,43,23,mbk,001_2nd,exit,lift_13,156
2020,10,43,23,mbk,001_2nd,exit,lift_14,129
2020,10,43,23,mbk,001_2nd,exit,lift_15,478
2020,10,43,23,mbk,001_2nd,exit,lift_16,363
2020,10,43,23,mbk,001_2nd,exit,lift_17,238
