year,month,week,day,building,floor,net_shopping_hour
2020,10,43,23,alaart,001_alaart2nd,72.96508679773973
2020,10,43,23,alaart,002_alaart3rd,0.0
2020,10,43,23,mbk,000_g,7432.060771274923
2020,10,43,23,mbk,001_2nd,6853.097796695168
2020,10,43,23,mbk,002_3rd,3930.7724527365044
2020,10,43,23,mbk,003_4th,13589.59216953221
2020,10,43,23,mbk,004_5th,3474.9093265347537
2020,10,43,23,mbk,005_6th,5322.508083119359
2020,10,43,23,mbk,006_7th,6197.7208164266685
2020,10,43,23,mbk,007_8th,0.0
2020,10,43,23,mbk,008_m,0.0
2020,10,43,23,tokyu,000_tokyu,1027.711616724931
2020,10,43,23,tower,000_tower,210.67993434343407
2020,10,43,24,alaart,001_alaart2nd,283.7069310864503
2020,10,43,24,alaart,002_alaart3rd,0.0
2020,10,43,24,mbk,000_g,7033.748414210252
2020,10,43,24,mbk,001_2nd,10161.125917706564
2020,10,43,24,mbk,002_3rd,1723.8117936718966
2020,10,43,24,mbk,003_4th,11969.777981240022
2020,10,43,24,mbk,004_5th,3539.1211224675494
2020,10,43,24,mbk,005_6th,4996.847973631052
2020,10,43,24,mbk,006_7th,6767.230952908212
2020,10,43,24,mbk,007_8th,171.13690590879898
2020,10,43,24,mbk,008_m,0.0
2020,10,43,24,tokyu,000_tokyu,389.31303088858436
2020,10,43,24,tower,000_tower,107.34259318996425
2020,10,43,25,alaart,001_alaart2nd,108.51919823232352
2020,10,43,25,alaart,002_alaart3rd,63.819932754397776
2020,10,43,25,mbk,000_g,7029.884236192604
2020,10,43,25,mbk,001_2nd,11907.043047162666
2020,10,43,25,mbk,002_3rd,0.0
2020,10,43,25,mbk,003_4th,11323.003614420415
2020,10,43,25,mbk,004_5th,4078.8353458743854
2020,10,43,25,mbk,005_6th,4761.167169878159
2020,10,43,25,mbk,006_7th,5781.981966914685
2020,10,43,25,mbk,007_8th,26.99754273504272
2020,10,43,25,mbk,008_m,32.658952991453106
2020,10,43,25,tokyu,000_tokyu,315.369367584647
2020,10,43,25,tower,000_tower,124.06182160247896
2020,10,44,26,alaart,001_alaart2nd,337.19490480178484
2020,10,44,26,alaart,002_alaart3rd,0.0
2020,10,44,26,mbk,000_g,7638.763361580783
2020,10,44,26,mbk,001_2nd,12219.936270406626
2020,10,44,26,mbk,002_3rd,2612.2166149350373
2020,10,44,26,mbk,003_4th,10412.132648420285
2020,10,44,26,mbk,004_5th,3692.426166708654
2020,10,44,26,mbk,005_6th,5644.727366759684
2020,10,44,26,mbk,006_7th,4035.39274732996
2020,10,44,26,mbk,007_8th,1761.0964714714723
2020,10,44,26,mbk,008_m,59.05685699588457
2020,10,44,26,tokyu,000_tokyu,614.1461538578017
2020,10,44,26,tower,000_tower,1842.0672372711347
2020,10,44,27,alaart,001_alaart2nd,288.253863040123
2020,10,44,27,alaart,002_alaart3rd,0.0
2020,10,44,27,mbk,000_g,7784.489840696648
2020,10,44,27,mbk,001_2nd,18132.390198974543
2020,10,44,27,mbk,002_3rd,32.88223226464158
2020,10,44,27,mbk,003_4th,10711.530100008376
2020,10,44,27,mbk,004_5th,3008.9388759968447
2020,10,44,27,mbk,005_6th,6313.399018052079
2020,10,44,27,mbk,006_7th,4213.282934104714
