year,month,week,day,building,floor,zone,average_timespent
2020,10,43,23,alaart,001_alaart2nd,alaart2z,93.77876203922278
2020,10,43,23,alaart,002_alaart3rd,alaart3z,-225.32100077144787
2020,10,43,23,mbk,000_g,ga,719.6154960788299
2020,10,43,23,mbk,000_g,gb,413.3958177031782
2020,10,43,23,mbk,000_g,gc,1027.123652715174
2020,10,43,23,mbk,000_g,gd,527.7181467599476
2020,10,43,23,mbk,001_2nd,2a,-124.33277177752825
2020,10,43,23,mbk,001_2nd,2b,571.9309314283382
2020,10,43,23,mbk,001_2nd,2c,388.64705188122025
2020,10,43,23,mbk,001_2nd,2d,273.28139516670126
2020,10,43,23,mbk,002_3rd,3a,365.5749340199509
2020,10,43,23,mbk,002_3rd,3b,89.51323120910456
2020,10,43,23,mbk,002_3rd,3c,186.73626127307944
2020,10,43,23,mbk,002_3rd,3d,654.2802725498987
2020,10,43,23,mbk,003_4th,4a,1191.217465903239
2020,10,43,23,mbk,003_4th,4b,626.5748554298698
2020,10,43,23,mbk,003_4th,4c,685.6408375881547
2020,10,43,23,mbk,003_4th,4d,1502.0308696307657
2020,10,43,23,mbk,004_5th,5a,539.1813264309785
2020,10,43,23,mbk,004_5th,5b,590.8366414133488
2020,10,43,23,mbk,004_5th,5c,365.6386459730493
2020,10,43,23,mbk,004_5th,5d,608.6757197327825
2020,10,43,23,mbk,005_6th,6a,1994.8944653047001
2020,10,43,23,mbk,005_6th,6b,-57.12121752931853
2020,10,43,23,mbk,005_6th,6c,999.8818640035279
2020,10,43,23,mbk,005_6th,6d,759.5030461835886
2020,10,43,23,mbk,006_7th,7z,3663.075839621739
2020,10,43,23,mbk,007_8th,8z,-342.32389296832844
2020,10,43,23,mbk,008_m,mz,-630.3792912513818
2020,10,43,23,tokyu,000_tokyu,tokyu,376.1832049018558
2020,10,43,23,tower,000_tower,tower,5660.057937584796
2020,10,43,24,alaart,001_alaart2nd,alaart2z,345.0489702402774
2020,10,43,24,alaart,002_alaart3rd,alaart3z,-190.73241108697403
2020,10,43,24,mbk,000_g,ga,899.7974305476637
2020,10,43,24,mbk,000_g,gb,268.1102975749018
2020,10,43,24,mbk,000_g,gc,1050.172010733313
2020,10,43,24,mbk,000_g,gd,508.42252429691143
2020,10,43,24,mbk,001_2nd,2a,-26.62481327790738
2020,10,43,24,mbk,001_2nd,2b,1132.404576129822
2020,10,43,24,mbk,001_2nd,2c,439.0437980798779
2020,10,43,24,mbk,001_2nd,2d,-32.43673138725353
2020,10,43,24,mbk,002_3rd,3a,478.78873518814
2020,10,43,24,mbk,002_3rd,3b,-405.1290933965611
2020,10,43,24,mbk,002_3rd,3c,206.70553778776593
2020,10,43,24,mbk,002_3rd,3d,727.0113934851724
2020,10,43,24,mbk,003_4th,4a,1302.1676294258905
2020,10,43,24,mbk,003_4th,4b,527.279271764899
2020,10,43,24,mbk,003_4th,4c,677.3986317598901
2020,10,43,24,mbk,003_4th,4d,1284.9694727550013
2020,10,43,24,mbk,004_5th,5a,1019.648936554775
