year,month,week,day,building,floor,zone,entrance,exit
2020,10,43,23,alaart,001_alaart2nd,alaart2z,2221,2801
2020,10,43,23,alaart,002_alaart3rd,alaart3z,2566,1955
2020,10,43,23,mbk,000_g,ga,4715,4796
2020,10,43,23,mbk,000_g,gb,13559,14003
2020,10,43,23,mbk,000_g,gc,10361,10478
2020,10,43,23,mbk,000_g,gd,6705,5998
2020,10,43,23,mbk,001_2nd,2a,9379,9684
2020,10,43,23,mbk,001_2nd,2b,20982,20535
2020,10,43,23,mbk,001_2nd,2c,14833,14994
2020,10,43,23,mbk,001_2nd,2d,3994,3881
2020,10,43,23,mbk,002_3rd,3a,10808,11104
2020,10,43,23,mbk,002_3rd,3b,18884,19239
2020,10,43,23,mbk,002_3rd,3c,9624,10266
2020,10,43,23,mbk,002_3rd,3d,9514,9356
2020,10,43,23,mbk,003_4th,4a,10051,9684
2020,10,43,23,mbk,003_4th,4b,20345,20308
2020,10,43,23,mbk,003_4th,4c,18252,17736
2020,10,43,23,mbk,003_4th,4d,8385,8587
2020,10,43,23,mbk,004_5th,5a,5600,5633
2020,10,43,23,mbk,004_5th,5b,9973,10018
2020,10,43,23,mbk,004_5th,5c,5972,5921
2020,10,43,23,mbk,004_5th,5d,2411,2321
2020,10,43,23,mbk,005_6th,6a,5634,5717
2020,10,43,23,mbk,005_6th,6b,10013,10258
2020,10,43,23,mbk,005_6th,6c,6507,6794
2020,10,43,23,mbk,005_6th,6d,2018,2106
2020,10,43,23,mbk,006_7th,7z,6227,6091
2020,10,43,23,mbk,007_8th,8z,269,283
2020,10,43,23,mbk,008_m,mz,168,172
2020,10,43,23,tokyu,000_tokyu,tokyu,9684,9835
2020,10,43,23,tower,000_tower,tower,165,134
2020,10,43,24,alaart,001_alaart2nd,alaart2z,2433,2960
2020,10,43,24,alaart,002_alaart3rd,alaart3z,2916,2330
2020,10,43,24,mbk,000_g,ga,4780,4823
2020,10,43,24,mbk,000_g,gb,13432,13773
2020,10,43,24,mbk,000_g,gc,10254,10462
2020,10,43,24,mbk,000_g,gd,6654,5850
2020,10,43,24,mbk,001_2nd,2a,9722,10090
2020,10,43,24,mbk,001_2nd,2b,21325,21155
2020,10,43,24,mbk,001_2nd,2c,14958,14829
2020,10,43,24,mbk,001_2nd,2d,4054,3870
2020,10,43,24,mbk,002_3rd,3a,10363,10651
2020,10,43,24,mbk,002_3rd,3b,19171,19210
2020,10,43,24,mbk,002_3rd,3c,9343,9891
2020,10,43,24,mbk,002_3rd,3d,9302,9213
2020,10,43,24,mbk,003_4th,4a,9585,9156
2020,10,43,24,mbk,003_4th,4b,20327,20586
2020,10,43,24,mbk,003_4th,4c,17016,16132
2020,10,43,24,mbk,003_4th,4d,7348,7664
2020,10,43,24,mbk,004_5th,5a,5767,5809
2020,10,43,24,mbk,004_5th,5b,10477,10401
2020,10,43,24,mbk,004_5th,5c,5656,5630
2020,10,43,24,mbk,004_5th,5d,2271,2106
2020,10,43,24,mbk,005_6th,6a,6035,6072
2020,10,43,24,mbk,005_6th,6b,10401,10665
2020,10,43,24,mbk,005_6th,6c,6338,6561
2020,10,43,24,mbk,005_6th,6d,1765,1842
2020,10,43,24,mbk,006_7th,7z,6623,6419
2020,10,43,24,mbk,007_8th,8z,346,442
2020,10,43,24,mbk,008_m,mz,114,121
2020,10,43,24,tokyu,000_tokyu,tokyu,9783,9667
2020,10,43,24,tower,000_tower,tower,155,144
2020,10,43,25,alaart,001_alaart2nd,alaart2z,1848,2359
2020,10,43,25,alaart,002_alaart3rd,alaart3z,2495,1952
2020,10,43,25,mbk,000_g,ga,4468,4540
2020,10,43,25,mbk,000_g,gb,12277,12577
2020,10,43,25,mbk,000_g,gc,9577,9654
2020,10,43,25,mbk,000_g,gd,6575,5755
2020,10,43,25,mbk,001_2nd,2a,8420,8697
2020,10,43,25,mbk,001_2nd,2b,19811,18841
2020,10,43,25,mbk,001_2nd,2c,13217,13127
2020,10,43,25,mbk,001_2nd,2d,3561,3510
2020,10,43,25,mbk,002_3rd,3a,9160,9468
2020,10,43,25,mbk,002_3rd,3b,16645,17937
2020,10,43,25,mbk,002_3rd,3c,8397,8795
2020,10,43,25,mbk,002_3rd,3d,8140,8084
2020,10,43,25,mbk,003_4th,4a,9285,8915
2020,10,43,25,mbk,003_4th,4b,19328,19131
2020,10,43,25,mbk,003_4th,4c,15883,15256
2020,10,43,25,mbk,003_4th,4d,6904,7267
2020,10,43,25,mbk,004_5th,5a,5281,5349
2020,10,43,25,mbk,004_5th,5b,9634,9625
2020,10,43,25,mbk,004_5th,5c,5216,5164
2020,10,43,25,mbk,004_5th,5d,1952,1909
2020,10,43,25,mbk,005_6th,6a,5363,5384
2020,10,43,25,mbk,005_6th,6b,9485,9673
2020,10,43,25,mbk,005_6th,6c,5824,6076
2020,10,43,25,mbk,005_6th,6d,1586,1654
2020,10,43,25,mbk,006_7th,7z,5600,5437
2020,10,43,25,mbk,007_8th,8z,338,362
2020,10,43,25,mbk,008_m,mz,130,138
2020,10,43,25,tokyu,000_tokyu,tokyu,8723,8713
2020,10,43,25,tower,000_tower,tower,251,233
2020,10,44,26,alaart,001_alaart2nd,alaart2z,1990,2421
2020,10,44,26,alaart,002_alaart3rd,alaart3z,2512,2028
2020,10,44,26,mbk,000_g,ga,5755,5752
2020,10,44,26,mbk,000_g,gb,11769,11929
2020,10,44,26,mbk,000_g,gc,9483,9552
2020,10,44,26,mbk,000_g,gd,7162,6384
2020,10,44,26,mbk,001_2nd,2a,8976,9199
2020,10,44,26,mbk,001_2nd,2b,16809,15375
2020,10,44,26,mbk,001_2nd,2c,12007,12163
2020,10,44,26,mbk,001_2nd,2d,3756,3728
2020,10,44,26,mbk,002_3rd,3a,7570,7810
2020,10,44,26,mbk,002_3rd,3b,12478,13478
2020,10,44,26,mbk,002_3rd,3c,6778,6898
2020,10,44,26,mbk,002_3rd,3d,7817,7817
2020,10,44,26,mbk,003_4th,4a,7580,7433
2020,10,44,26,mbk,003_4th,4b,15193,15021
2020,10,44,26,mbk,003_4th,4c,13679,13257
2020,10,44,26,mbk,003_4th,4d,6725,7105
2020,10,44,26,mbk,004_5th,5a,6208,6698
2020,10,44,26,mbk,004_5th,5b,7430,7401
2020,10,44,26,mbk,004_5th,5c,4877,4893
2020,10,44,26,mbk,004_5th,5d,2169,2080
2020,10,44,26,mbk,005_6th,6a,5595,5630
2020,10,44,26,mbk,005_6th,6b,7485,7658
2020,10,44,26,mbk,005_6th,6c,5523,5665
2020,10,44,26,mbk,005_6th,6d,1762,1830
2020,10,44,26,mbk,006_7th,7z,5930,5630
2020,10,44,26,mbk,007_8th,8z,1258,1530
2020,10,44,26,mbk,008_m,mz,324,350
2020,10,44,26,tokyu,000_tokyu,tokyu,9689,9539
2020,10,44,26,tower,000_tower,tower,2215,2073
2020,10,44,27,alaart,001_alaart2nd,alaart2z,2160,2667
2020,10,44,27,alaart,002_alaart3rd,alaart3z,2781,2245
2020,10,44,27,mbk,000_g,ga,6003,6039
2020,10,44,27,mbk,000_g,gb,13344,13620
2020,10,44,27,mbk,000_g,gc,10603,10565
2020,10,44,27,mbk,000_g,gd,7710,6696
2020,10,44,27,mbk,001_2nd,2a,9804,9956
2020,10,44,27,mbk,001_2nd,2b,16435,15932
2020,10,44,27,mbk,001_2nd,2c,12160,12524
2020,10,44,27,mbk,001_2nd,2d,4019,3882
2020,10,44,27,mbk,002_3rd,3a,8290,8414
2020,10,44,27,mbk,002_3rd,3b,14167,14064
2020,10,44,27,mbk,002_3rd,3c,7820,7959
