year,month,week,day,building,floor,zone,hour,entrance,exit,accumulate
2020,10,43,23,mbk,002_3rd,3d,8,13,9,4
2020,10,43,23,mbk,002_3rd,3d,9,75,56,23
2020,10,43,23,mbk,002_3rd,3d,10,484,399,108
2020,10,43,23,mbk,002_3rd,3d,11,737,687,158
2020,10,43,23,mbk,002_3rd,3d,12,848,816,190
2020,10,43,23,mbk,002_3rd,3d,13,1050,997,243
2020,10,43,23,mbk,002_3rd,3d,14,1044,1025,262
2020,10,43,23,mbk,002_3rd,3d,15,1169,1131,300
2020,10,43,23,mbk,002_3rd,3d,16,1202,1182,320
2020,10,43,23,mbk,002_3rd,3d,17,994,1002,312
2020,10,43,23,mbk,002_3rd,3d,18,915,912,315
2020,10,43,23,mbk,002_3rd,3d,19,673,771,217
2020,10,43,23,mbk,002_3rd,3d,20,282,329,170
2020,10,43,23,mbk,002_3rd,3d,21,28,40,158
2020,10,43,23,mbk,002_3rd,3d,22,0,0,158
2020,10,43,23,mbk,002_3rd,3b,8,38,32,6
2020,10,43,23,mbk,002_3rd,3b,9,190,163,33
2020,10,43,23,mbk,002_3rd,3b,10,926,878,81
2020,10,43,23,mbk,002_3rd,3b,11,1192,1219,54
2020,10,43,23,mbk,002_3rd,3b,12,1726,1767,13
2020,10,43,23,mbk,002_3rd,3b,13,2009,2084,-62
2020,10,43,23,mbk,002_3rd,3b,14,2055,2233,-240
2020,10,43,23,mbk,002_3rd,3b,15,2334,2310,-216
2020,10,43,23,mbk,002_3rd,3b,16,2402,2369,-183
2020,10,43,23,mbk,002_3rd,3b,17,2036,2039,-186
2020,10,43,23,mbk,002_3rd,3b,18,1787,1834,-233
2020,10,43,23,mbk,002_3rd,3b,19,1332,1413,-314
2020,10,43,23,mbk,002_3rd,3b,20,736,777,-355
2020,10,43,23,mbk,002_3rd,3b,21,121,121,-355
2020,10,43,23,mbk,002_3rd,3a,8,14,8,6
2020,10,43,23,mbk,002_3rd,3a,9,58,33,31
2020,10,43,23,mbk,002_3rd,3a,10,448,437,42
2020,10,43,23,mbk,002_3rd,3a,11,726,675,93
2020,10,43,23,mbk,002_3rd,3a,12,960,959,94
2020,10,43,23,mbk,002_3rd,3a,13,1093,1161,26
2020,10,43,23,mbk,002_3rd,3a,14,1244,1265,5
2020,10,43,23,mbk,002_3rd,3a,15,1356,1395,-34
2020,10,43,23,mbk,002_3rd,3a,16,1377,1412,-69
2020,10,43,23,mbk,002_3rd,3a,17,1139,1191,-121
2020,10,43,23,mbk,002_3rd,3a,18,981,1048,-188
2020,10,43,23,mbk,002_3rd,3a,19,863,908,-233
2020,10,43,23,mbk,002_3rd,3a,20,534,572,-271
2020,10,43,23,mbk,002_3rd,3a,21,15,40,-296
2020,10,43,23,mbk,002_3rd,3c,8,21,22,-1
2020,10,43,23,mbk,002_3rd,3c,9,80,74,5
2020,10,43,23,mbk,002_3rd,3c,10,443,419,29
2020,10,43,23,mbk,002_3rd,3c,11,724,783,-30
2020,10,43,23,mbk,002_3rd,3c,12,851,898,-77
2020,10,43,23,mbk,002_3rd,3c,13,1066,1112,-123
2020,10,43,23,mbk,002_3rd,3c,14,1074,1138,-187
2020,10,43,23,mbk,002_3rd,3c,15,1203,1355,-339
2020,10,43,23,mbk,002_3rd,3c,16,1231,1296,-404
2020,10,43,23,mbk,002_3rd,3c,17,1020,1098,-482
2020,10,43,23,mbk,002_3rd,3c,18,891,946,-537
2020,10,43,23,mbk,002_3rd,3c,19,667,745,-615
2020,10,43,23,mbk,002_3rd,3c,20,294,312,-633
2020,10,43,23,mbk,002_3rd,3c,21,59,68,-642
2020,10,43,23,mbk,000_g,gc,8,185,131,54
2020,10,43,23,mbk,000_g,gc,9,371,263,162
2020,10,43,23,mbk,000_g,gc,10,685,638,209
2020,10,43,23,mbk,000_g,gc,11,783,795,197
2020,10,43,23,mbk,000_g,gc,12,964,901,260
2020,10,43,23,mbk,000_g,gc,13,955,990,225
2020,10,43,23,mbk,000_g,gc,14,983,968,240
2020,10,43,23,mbk,000_g,gc,15,1102,1097,245
2020,10,43,23,mbk,000_g,gc,16,1118,1102,261
2020,10,43,23,mbk,000_g,gc,17,1020,1036,245
2020,10,43,23,mbk,000_g,gc,18,851,911,185
2020,10,43,23,mbk,000_g,gc,19,723,827,81
2020,10,43,23,mbk,000_g,gc,20,419,539,-39
2020,10,43,23,mbk,000_g,gc,21,202,281,-118
2020,10,43,23,mbk,000_g,gb,8,84,124,-40
2020,10,43,23,mbk,000_g,gb,9,213,232,-59
2020,10,43,23,mbk,000_g,gb,10,848,726,63
2020,10,43,23,mbk,000_g,gb,11,1010,967,106
2020,10,43,23,mbk,000_g,gb,12,1220,1223,103
2020,10,43,23,mbk,000_g,gb,13,1351,1431,23
2020,10,43,23,mbk,000_g,gb,14,1617,1538,102
2020,10,43,23,mbk,000_g,gb,15,1425,1511,16
2020,10,43,23,mbk,000_g,gb,16,1439,1485,-30
2020,10,43,23,mbk,000_g,gb,17,1318,1498,-210
2020,10,43,23,mbk,000_g,gb,18,1129,1304,-385
2020,10,43,23,mbk,000_g,gb,19,1067,1066,-384
2020,10,43,23,mbk,000_g,gb,20,629,700,-455
2020,10,43,23,mbk,000_g,gb,21,209,198,-444
2020,10,43,23,mbk,000_g,ga,8,64,54,10
2020,10,43,23,mbk,000_g,ga,9,97,90,17
2020,10,43,23,mbk,000_g,ga,10,273,243,47
2020,10,43,23,mbk,000_g,ga,11,360,336,71
2020,10,43,23,mbk,000_g,ga,12,429,433,67
2020,10,43,23,mbk,000_g,ga,13,514,518,63
2020,10,43,23,mbk,000_g,ga,14,561,574,50
2020,10,43,23,mbk,000_g,ga,15,527,519,58
2020,10,43,23,mbk,000_g,ga,16,522,534,46
2020,10,43,23,mbk,000_g,ga,17,497,496,47
2020,10,43,23,mbk,000_g,ga,18,399,411,35
2020,10,43,23,mbk,000_g,ga,19,329,378,-14
2020,10,43,23,mbk,000_g,ga,20,125,175,-64
2020,10,43,23,mbk,000_g,ga,21,18,35,-81
2020,10,43,23,mbk,000_g,gd,9,339,258,127
2020,10,43,23,mbk,000_g,gd,10,489,430,186
2020,10,43,23,mbk,000_g,gd,11,593,509,270
2020,10,43,23,mbk,000_g,gd,12,614,568,316
2020,10,43,23,mbk,000_g,gd,13,571,500,387
2020,10,43,23,mbk,000_g,gd,14,545,479,453
2020,10,43,23,mbk,000_g,gd,15,614,556,511
2020,10,43,23,mbk,000_g,gd,16,555,525,541
2020,10,43,23,mbk,000_g,gd,17,612,542,611
2020,10,43,23,mbk,000_g,gd,18,574,536,649
2020,10,43,23,mbk,000_g,gd,19,494,486,657
2020,10,43,23,mbk,000_g,gd,20,348,321,684
2020,10,43,23,mbk,000_g,gd,21,181,161,704
2020,10,43,23,mbk,000_g,gd,8,173,127,46
2020,10,43,23,mbk,001_2nd,2c,8,173,78,95
2020,10,43,23,mbk,001_2nd,2c,9,309,196,208
2020,10,43,23,mbk,001_2nd,2c,10,920,952,176
2020,10,43,23,mbk,001_2nd,2c,11,1124,1133,167
2020,10,43,23,mbk,001_2nd,2c,12,1231,1258,140
2020,10,43,23,mbk,001_2nd,2c,13,1473,1494,119
2020,10,43,23,mbk,001_2nd,2c,14,1521,1518,122
