year,month,week,day,building,floor,zone,direction,area,count
2020,10,43,23,alaart,001_alaart2nd,alaart2z,entrance,alaart1z,1369
2020,10,43,23,alaart,001_alaart2nd,alaart2z,entrance,alaart3z,852
2020,10,43,23,alaart,001_alaart2nd,alaart2z,exit,alaart1z,1430
2020,10,43,23,alaart,001_alaart2nd,alaart2z,exit,alaart3z,1371
2020,10,43,23,alaart,002_alaart3rd,alaart3z,entrance,alaart,1195
2020,10,43,23,alaart,002_alaart3rd,alaart3z,entrance,alaart2z,1371
2020,10,43,23,alaart,002_alaart3rd,alaart3z,exit,alaart,1103
2020,10,43,23,alaart,002_alaart3rd,alaart3z,exit,alaart2z,852
2020,10,43,23,mbk,000_g,ga,entrance,gb,3330
2020,10,43,23,mbk,000_g,ga,entrance,ground,237
2020,10,43,23,mbk,000_g,ga,entrance,lift_tower_1,2
2020,10,43,23,mbk,000_g,ga,entrance,lift_tower_2,68
2020,10,43,23,mbk,000_g,ga,entrance,lift_tower_3,0
2020,10,43,23,mbk,000_g,ga,entrance,lift_tower_4,38
2020,10,43,23,mbk,000_g,ga,entrance,lift_tower_5,0
2020,10,43,23,mbk,000_g,ga,entrance,tokyu,907
2020,10,43,23,mbk,000_g,ga,entrance,tower,133
2020,10,43,23,mbk,000_g,ga,exit,gb,3112
2020,10,43,23,mbk,000_g,ga,exit,ground,459
2020,10,43,23,mbk,000_g,ga,exit,lift_tower_1,4
2020,10,43,23,mbk,000_g,ga,exit,lift_tower_2,54
2020,10,43,23,mbk,000_g,ga,exit,lift_tower_3,1
2020,10,43,23,mbk,000_g,ga,exit,lift_tower_4,72
2020,10,43,23,mbk,000_g,ga,exit,lift_tower_5,0
2020,10,43,23,mbk,000_g,ga,exit,tokyu,962
2020,10,43,23,mbk,000_g,ga,exit,tower,132
2020,10,43,23,mbk,000_g,gb,entrance,2b,3610
2020,10,43,23,mbk,000_g,gb,entrance,ga,3112
2020,10,43,23,mbk,000_g,gb,entrance,gc,3798
2020,10,43,23,mbk,000_g,gb,entrance,ground,655
2020,10,43,23,mbk,000_g,gb,entrance,lift_15,309
2020,10,43,23,mbk,000_g,gb,entrance,lift_16,257
2020,10,43,23,mbk,000_g,gb,entrance,lift_17,326
2020,10,43,23,mbk,000_g,gb,entrance,lift_18,333
2020,10,43,23,mbk,000_g,gb,entrance,lift_19,332
2020,10,43,23,mbk,000_g,gb,entrance,taxi,827
2020,10,43,23,mbk,000_g,gb,exit,2b,3605
2020,10,43,23,mbk,000_g,gb,exit,ga,3330
2020,10,43,23,mbk,000_g,gb,exit,gc,3577
2020,10,43,23,mbk,000_g,gb,exit,ground,1076
2020,10,43,23,mbk,000_g,gb,exit,lift_15,358
2020,10,43,23,mbk,000_g,gb,exit,lift_16,324
2020,10,43,23,mbk,000_g,gb,exit,lift_17,341
2020,10,43,23,mbk,000_g,gb,exit,lift_18,322
2020,10,43,23,mbk,000_g,gb,exit,lift_19,303
2020,10,43,23,mbk,000_g,gb,exit,taxi,767
2020,10,43,23,mbk,000_g,gc,entrance,2c,1759
2020,10,43,23,mbk,000_g,gc,entrance,gb,3577
2020,10,43,23,mbk,000_g,gc,entrance,gd,2260
2020,10,43,23,mbk,000_g,gc,entrance,ground,444
2020,10,43,23,mbk,000_g,gc,entrance,lift_13,212
2020,10,43,23,mbk,000_g,gc,entrance,lift_14,232
2020,10,43,23,mbk,000_g,gc,entrance,parking,924
2020,10,43,23,mbk,000_g,gc,entrance,service,953
2020,10,43,23,mbk,000_g,gc,exit,2c,1883
2020,10,43,23,mbk,000_g,gc,exit,gb,3798
2020,10,43,23,mbk,000_g,gc,exit,gd,1938
2020,10,43,23,mbk,000_g,gc,exit,ground,660
2020,10,43,23,mbk,000_g,gc,exit,lift_13,280
2020,10,43,23,mbk,000_g,gc,exit,lift_14,283
2020,10,43,23,mbk,000_g,gc,exit,parking,734
2020,10,43,23,mbk,000_g,gc,exit,service,902
2020,10,43,23,mbk,000_g,gd,entrance,gc,1938
2020,10,43,23,mbk,000_g,gd,entrance,ground,1781
2020,10,43,23,mbk,000_g,gd,entrance,hotel,651
2020,10,43,23,mbk,000_g,gd,entrance,lift_10,381
2020,10,43,23,mbk,000_g,gd,entrance,lift_11,373
2020,10,43,23,mbk,000_g,gd,entrance,lift_12,457
2020,10,43,23,mbk,000_g,gd,entrance,parking,1124
2020,10,43,23,mbk,000_g,gd,exit,gc,2260
2020,10,43,23,mbk,000_g,gd,exit,ground,740
2020,10,43,23,mbk,000_g,gd,exit,hotel,585
2020,10,43,23,mbk,000_g,gd,exit,lift_10,464
2020,10,43,23,mbk,000_g,gd,exit,lift_11,452
2020,10,43,23,mbk,000_g,gd,exit,lift_12,482
2020,10,43,23,mbk,000_g,gd,exit,parking,1015
2020,10,43,23,mbk,001_2nd,2a,entrance,2b,5236
2020,10,43,23,mbk,001_2nd,2a,entrance,bts,2621
2020,10,43,23,mbk,001_2nd,2a,entrance,lift_tower_1,0
2020,10,43,23,mbk,001_2nd,2a,entrance,lift_tower_2,9
2020,10,43,23,mbk,001_2nd,2a,entrance,lift_tower_3,1
2020,10,43,23,mbk,001_2nd,2a,entrance,lift_tower_4,3
2020,10,43,23,mbk,001_2nd,2a,entrance,lift_tower_5,0
2020,10,43,23,mbk,001_2nd,2a,entrance,tokyu,1509
2020,10,43,23,mbk,001_2nd,2a,exit,2b,5074
2020,10,43,23,mbk,001_2nd,2a,exit,bts,3210
2020,10,43,23,mbk,001_2nd,2a,exit,lift_tower_1,0
2020,10,43,23,mbk,001_2nd,2a,exit,lift_tower_2,10
2020,10,43,23,mbk,001_2nd,2a,exit,lift_tower_3,9
2020,10,43,23,mbk,001_2nd,2a,exit,lift_tower_4,1
2020,10,43,23,mbk,001_2nd,2a,exit,lift_tower_5,0
2020,10,43,23,mbk,001_2nd,2a,exit,tokyu,1380
2020,10,43,23,mbk,001_2nd,2b,entrance,2a,5074
2020,10,43,23,mbk,001_2nd,2b,entrance,2c,3399
2020,10,43,23,mbk,001_2nd,2b,entrance,3b,4833
2020,10,43,23,mbk,001_2nd,2b,entrance,gb,3605
2020,10,43,23,mbk,001_2nd,2b,entrance,lift_18,260
2020,10,43,23,mbk,001_2nd,2b,entrance,lift_19,274
2020,10,43,23,mbk,001_2nd,2b,entrance,parking,3537
2020,10,43,23,mbk,001_2nd,2b,exit,2a,5236
2020,10,43,23,mbk,001_2nd,2b,exit,2c,3795
2020,10,43,23,mbk,001_2nd,2b,exit,3b,4256
2020,10,43,23,mbk,001_2nd,2b,exit,gb,3610
2020,10,43,23,mbk,001_2nd,2b,exit,lift_18,239
2020,10,43,23,mbk,001_2nd,2b,exit,lift_19,247
2020,10,43,23,mbk,001_2nd,2b,exit,parking,3152
2020,10,43,23,mbk,001_2nd,2c,entrance,2b,3795
2020,10,43,23,mbk,001_2nd,2c,entrance,2d,1766
2020,10,43,23,mbk,001_2nd,2c,entrance,3b,14
2020,10,43,23,mbk,001_2nd,2c,entrance,3d,2293
2020,10,43,23,mbk,001_2nd,2c,entrance,alaart,3147
2020,10,43,23,mbk,001_2nd,2c,entrance,gc,1883
2020,10,43,23,mbk,001_2nd,2c,entrance,lift_13,193
2020,10,43,23,mbk,001_2nd,2c,entrance,lift_14,199
2020,10,43,23,mbk,001_2nd,2c,entrance,lift_15,563
2020,10,43,23,mbk,001_2nd,2c,entrance,lift_16,449
2020,10,43,23,mbk,001_2nd,2c,entrance,lift_17,247
2020,10,43,23,mbk,001_2nd,2c,entrance,parking,284
2020,10,43,23,mbk,001_2nd,2c,exit,2b,3399
2020,10,43,23,mbk,001_2nd,2c,exit,2d,1598
2020,10,43,23,mbk,001_2nd,2c,exit,3b,1930
2020,10,43,23,mbk,001_2nd,2c,exit,3d,1978
2020,10,43,23,mbk,001_2nd,2c,exit,alaart,2371
2020,10,43,23,mbk,001_2nd,2c,exit,gc,1759
2020,10,43,23,mbk,001_2nd,2c,exit,lift_13,156
2020,10,43,23,mbk,001_2nd,2c,exit,lift_14,129
2020,10,43,23,mbk,001_2nd,2c,exit,lift_15,478
2020,10,43,23,mbk,001_2nd,2c,exit,lift_16,363
2020,10,43,23,mbk,001_2nd,2c,exit,lift_17,238
2020,10,43,23,mbk,001_2nd,2c,exit,parking,595
2020,10,43,23,mbk,001_2nd,2d,entrance,2c,1598
2020,10,43,23,mbk,001_2nd,2d,entrance,3d,816
2020,10,43,23,mbk,001_2nd,2d,entrance,alaart,415
2020,10,43,23,mbk,001_2nd,2d,entrance,hotel,88
2020,10,43,23,mbk,001_2nd,2d,entrance,lift_10,200
2020,10,43,23,mbk,001_2nd,2d,entrance,lift_11,219
2020,10,43,23,mbk,001_2nd,2d,entrance,lift_12,263
2020,10,43,23,mbk,001_2nd,2d,entrance,parking,395
2020,10,43,23,mbk,001_2nd,2d,exit,2c,1766
2020,10,43,23,mbk,001_2nd,2d,exit,3d,602
2020,10,43,23,mbk,001_2nd,2d,exit,alaart,479
2020,10,43,23,mbk,001_2nd,2d,exit,hotel,48
2020,10,43,23,mbk,001_2nd,2d,exit,lift_10,176
2020,10,43,23,mbk,001_2nd,2d,exit,lift_11,196
2020,10,43,23,mbk,001_2nd,2d,exit,lift_12,192
2020,10,43,23,mbk,001_2nd,2d,exit,parking,422
2020,10,43,23,mbk,002_3rd,3a,entrance,3b,4709
2020,10,43,23,mbk,002_3rd,3a,entrance,4a,1606
2020,10,43,23,mbk,002_3rd,3a,entrance,bts,3225
2020,10,43,23,mbk,002_3rd,3a,entrance,parking,9
2020,10,43,23,mbk,002_3rd,3a,entrance,tokyu,1259
2020,10,43,23,mbk,002_3rd,3a,exit,3b,4414
2020,10,43,23,mbk,002_3rd,3a,exit,4a,1996
2020,10,43,23,mbk,002_3rd,3a,exit,bts,3339
2020,10,43,23,mbk,002_3rd,3a,exit,parking,15
2020,10,43,23,mbk,002_3rd,3a,exit,tokyu,1340
2020,10,43,23,mbk,002_3rd,3b,entrance,2b,4256
2020,10,43,23,mbk,002_3rd,3b,entrance,2c,1930
2020,10,43,23,mbk,002_3rd,3b,entrance,3a,4414
2020,10,43,23,mbk,002_3rd,3b,entrance,3c,2744
2020,10,43,23,mbk,002_3rd,3b,entrance,4b,3981
2020,10,43,23,mbk,002_3rd,3b,entrance,4c,9
