year,month,week,day,building,floor,zone,net_shopping_hour
2020,10,43,23,alaart,001_alaart2nd,alaart2z,72.96508679773973
2020,10,43,23,alaart,002_alaart3rd,alaart3z,0.0
2020,10,43,23,mbk,000_g,ga,958.6877553316857
2020,10,43,23,mbk,000_g,gb,1607.9948986937789
2020,10,43,23,mbk,000_g,gc,2989.5004536526653
2020,10,43,23,mbk,000_g,gd,879.2370678517127
2020,10,43,23,mbk,001_2nd,2a,0.0
2020,10,43,23,mbk,001_2nd,2b,3262.3893546891463
2020,10,43,23,mbk,001_2nd,2c,1618.7149710852823
2020,10,43,23,mbk,001_2nd,2d,294.6125262894355
2020,10,43,23,mbk,002_3rd,3a,1127.595574265982
2020,10,43,23,mbk,002_3rd,3b,478.3736264533229
2020,10,43,23,mbk,002_3rd,3c,532.5095717303982
2020,10,43,23,mbk,002_3rd,3d,1700.4017305491254
2020,10,43,23,mbk,003_4th,4a,3204.3749832797125
2020,10,43,23,mbk,003_4th,4b,3534.5783789082766
2020,10,43,23,mbk,003_4th,4c,3377.9238598509755
2020,10,43,23,mbk,003_4th,4d,3582.7608548664957
2020,10,43,23,mbk,004_5th,5a,843.6690032738061
2020,10,43,23,mbk,004_5th,5b,1644.1670760219247
2020,10,43,23,mbk,004_5th,5c,601.3740063351179
2020,10,43,23,mbk,004_5th,5d,392.42676263883004
2020,10,43,23,mbk,005_6th,6a,3168.003238374158
2020,10,43,23,mbk,005_6th,6b,0.0
2020,10,43,23,mbk,005_6th,6c,1886.9992733444356
2020,10,43,23,mbk,005_6th,6d,444.30928201739937
2020,10,43,23,mbk,006_7th,7z,6197.7208164266685
2020,10,43,23,mbk,007_8th,8z,0.0
2020,10,43,23,mbk,008_m,mz,0.0
2020,10,43,23,tokyu,000_tokyu,tokyu,1027.711616724931
2020,10,43,23,tower,000_tower,tower,210.67993434343407
2020,10,43,24,alaart,001_alaart2nd,alaart2z,283.7069310864503
2020,10,43,24,alaart,002_alaart3rd,alaart3z,0.0
2020,10,43,24,mbk,000_g,ga,1205.4786132031618
2020,10,43,24,mbk,000_g,gb,1025.7453134719785
2020,10,43,24,mbk,000_g,gc,3051.916548969978
2020,10,43,24,mbk,000_g,gd,826.1866019824811
2020,10,43,24,mbk,001_2nd,2a,0.0
2020,10,43,24,mbk,001_2nd,2b,6654.449668896218
2020,10,43,24,mbk,001_2nd,2c,1808.4945782573636
2020,10,43,24,mbk,001_2nd,2d,0.0
2020,10,43,24,mbk,002_3rd,3a,1416.5496718024665
2020,10,43,24,mbk,002_3rd,3b,0.0
2020,10,43,24,mbk,002_3rd,3c,567.9234650718869
2020,10,43,24,mbk,002_3rd,3d,1860.543324494137
2020,10,43,24,mbk,003_4th,4a,3311.8463375065153
2020,10,43,24,mbk,003_4th,4b,3015.1586357089473
2020,10,43,24,mbk,003_4th,4c,3035.4985354307078
2020,10,43,24,mbk,003_4th,4d,2735.5572331095364
2020,10,43,24,mbk,004_5th,5a,1645.3168534574133
2020,10,43,24,mbk,004_5th,5b,909.3092604169891
2020,10,43,24,mbk,004_5th,5c,601.7969982712588
2020,10,43,24,mbk,004_5th,5d,424.2310087333054
2020,10,43,24,mbk,005_6th,6a,3157.6876625701907
2020,10,43,24,mbk,005_6th,6b,54.1451521488314
2020,10,43,24,mbk,005_6th,6c,1774.7345083822286
2020,10,43,24,mbk,005_6th,6d,11.025726156750832
2020,10,43,24,mbk,006_7th,7z,6767.230952908212
2020,10,43,24,mbk,007_8th,8z,171.13690590879898
2020,10,43,24,mbk,008_m,mz,0.0
2020,10,43,24,tokyu,000_tokyu,tokyu,389.31303088858436
2020,10,43,24,tower,000_tower,tower,107.34259318996425
2020,10,43,25,alaart,001_alaart2nd,alaart2z,108.51919823232352
2020,10,43,25,alaart,002_alaart3rd,alaart3z,63.819932754397776
2020,10,43,25,mbk,000_g,ga,995.6208957525126
2020,10,43,25,mbk,000_g,gb,961.4898014580082
2020,10,43,25,mbk,000_g,gc,3134.94337203483
2020,10,43,25,mbk,000_g,gd,1122.0240590553951
2020,10,43,25,mbk,001_2nd,2a,0.0
2020,10,43,25,mbk,001_2nd,2b,9092.9260552283
2020,10,43,25,mbk,001_2nd,2c,1397.0419539416023
2020,10,43,25,mbk,001_2nd,2d,0.0
2020,10,43,25,mbk,002_3rd,3a,1432.282679888406
2020,10,43,25,mbk,002_3rd,3b,0.0
2020,10,43,25,mbk,002_3rd,3c,582.2696518267112
2020,10,43,25,mbk,002_3rd,3d,1659.513143325143
2020,10,43,25,mbk,003_4th,4a,2829.254280649794
2020,10,43,25,mbk,003_4th,4b,2467.4476165551414
2020,10,43,25,mbk,003_4th,4c,4087.1548677656856
2020,10,43,25,mbk,003_4th,4d,2083.2390781511517
2020,10,43,25,mbk,004_5th,5a,1610.8339273391002
2020,10,43,25,mbk,004_5th,5b,1255.3353818363119
2020,10,43,25,mbk,004_5th,5c,816.5780169989789
2020,10,43,25,mbk,004_5th,5d,421.0326111395715
2020,10,43,25,mbk,005_6th,6a,3184.082680402757
2020,10,43,25,mbk,005_6th,6b,87.37151537515504
2020,10,43,25,mbk,005_6th,6c,1328.4637977127068
2020,10,43,25,mbk,005_6th,6d,120.82498283592612
2020,10,43,25,mbk,006_7th,7z,5781.981966914685
2020,10,43,25,mbk,007_8th,8z,26.99754273504272
2020,10,43,25,mbk,008_m,mz,32.658952991453106
2020,10,43,25,tokyu,000_tokyu,tokyu,315.369367584647
2020,10,43,25,tower,000_tower,tower,124.06182160247896
2020,10,44,26,alaart,001_alaart2nd,alaart2z,337.19490480178484
2020,10,44,26,alaart,002_alaart3rd,alaart3z,0.0
2020,10,44,26,mbk,000_g,ga,1511.6784861955782
